id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1146880345926537216,Thu Jul 04 20:35:57 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ISID_org: Our first Plenary Speakers have been confirmed for #ICID2020! Fong Mun Yik of @unimalaya will be speaking on ""Plasmodium know…",Our first Plenary Speakers confirmed Fong Mun Yik speaking `` Plasmodium know…,"Sentiment(polarity=0.325, subjectivity=0.6666666666666666)",0.325,0.6666666666666666,en,0,1,saroberts1,,ICID2020,"ISID_org, unimalaya","Auckland Central, Auckland",
1146847327967203333,Thu Jul 04 18:24:45 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @ShopsPlus: 🔥 Hot off the press! New brief looks at the #evidence on #privatesector models to accelerate the reduction of #child morbidi…,Hot press New brief looks models accelerate reduction morbidi…,"Sentiment(polarity=0.12878787878787878, subjectivity=0.545959595959596)",0.12878787878787878,0.545959595959596,en,0,3,clara_luke,,"evidence, privatesector, child",ShopsPlus,Abuja,
1146810664771604480,Thu Jul 04 15:59:03 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @ISID_org: Our first Plenary Speakers have been confirmed for #ICID2020! @FaithOsier #malaria #immunologist of @iuis_online and @KEMRI_W…,Our first Plenary Speakers confirmed …,"Sentiment(polarity=0.325, subjectivity=0.6666666666666666)",0.325,0.6666666666666666,en,0,4,Ian4oyarow,,"ICID2020, malaria, immunologist","ISID_org, FaithOsier, iuis_online","KEMRI WELLCOME TRUST, Kenya",
1146798010552258561,Thu Jul 04 15:08:46 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","https://t.co/kZw7ntR7Tu After World War II, scientists &amp; researchers from #Malaria Control in War Areas, agency cre… https://t.co/DjEdqIxqyl",After World War II scientists amp researchers Control War Areas agency cre…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,1,0,bbbrieger,False,Malaria,,malaria,"[[-76.381944, 39.4511423], [-76.2668197, 39.4511423], [-76.2668197, 39.555058], [-76.381944, 39.555058]]"
1146720419740835840,Thu Jul 04 10:00:27 +0000 2019,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Our first Plenary Speakers have been confirmed for #ICID2020! Fong Mun Yik of @unimalaya will be speaking on ""Plasm… https://t.co/i6U1SehARJ",Our first Plenary Speakers confirmed Fong Mun Yik speaking `` Plasm…,"Sentiment(polarity=0.325, subjectivity=0.6666666666666666)",0.325,0.6666666666666666,en,1,1,ISID_org,False,ICID2020,unimalaya,"Boston, MA",
1146710502447468544,Thu Jul 04 09:21:03 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://t.co/ySojjQFEbm @ASTMH Risk Factors for Household #VectorAbundance Using Indoor CDC Light Traps in a High… https://t.co/9N7Y7Zqy42,Risk Factors Household Using Indoor CDC Light Traps High…,"Sentiment(polarity=0.4, subjectivity=0.7)",0.4,0.7,en,3,0,bbbrieger,False,VectorAbundance,ASTMH,malaria,"[[-76.381944, 39.4511423], [-76.2668197, 39.4511423], [-76.2668197, 39.555058], [-76.381944, 39.555058]]"
1146610203321913347,Thu Jul 04 02:42:30 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @ISID_org: Our first Plenary Speakers have been confirmed for #ICID2020! @FaithOsier #malaria #immunologist of @iuis_online and @KEMRI_W…,Our first Plenary Speakers confirmed …,"Sentiment(polarity=0.325, subjectivity=0.6666666666666666)",0.325,0.6666666666666666,en,0,4,MwangiShaban,,"ICID2020, malaria, immunologist","ISID_org, FaithOsier, iuis_online",Kenya,
1146567485065502721,Wed Jul 03 23:52:45 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @ISID_org: Our first Plenary Speakers have been confirmed for #ICID2020! @FaithOsier #malaria #immunologist of @iuis_online and @KEMRI_W…,Our first Plenary Speakers confirmed …,"Sentiment(polarity=0.325, subjectivity=0.6666666666666666)",0.325,0.6666666666666666,en,0,4,Maluavi,,"ICID2020, malaria, immunologist","ISID_org, FaithOsier, iuis_online",Costa Rica,
1146516110826561536,Wed Jul 03 20:28:36 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @ISID_org: Our first Plenary Speakers have been confirmed for #ICID2020! @FaithOsier #malaria #immunologist of @iuis_online and @KEMRI_W…,Our first Plenary Speakers confirmed …,"Sentiment(polarity=0.325, subjectivity=0.6666666666666666)",0.325,0.6666666666666666,en,0,4,saroberts1,,"ICID2020, malaria, immunologist","ISID_org, FaithOsier, iuis_online","Auckland Central, Auckland",
1146498391700070405,Wed Jul 03 19:18:12 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Online now: #typhoid toxin is NOT required for infection and the development of early typhoid fever symptoms in hum… https://t.co/JWPTBPt2cJ,Online toxin NOT required infection development early typhoid fever symptoms hum…,"Sentiment(polarity=0.1, subjectivity=0.3)",0.1,0.3,en,1,0,immuno_stuff,False,typhoid,,"New York, USA",
